,time,duration,code,label
219,213175,0,1,0
220,213431,0,23,1
221,213688,0,20,0
222,213944,0,12,0
223,214810,0,13,1
224,220230,0,8,1
225,220243,0,21,0
226,220490,0,1,0
227,220746,0,11,1
228,221002,0,22,1
229,221258,0,18,0
230,221514,0,24,0
231,221771,0,23,0
232,222027,0,19,1
233,222283,0,20,0
234,222539,0,12,0
235,223406,0,18,0
236,223660,0,19,1
237,223916,0,24,0
238,224172,0,11,1
239,224429,0,23,1
240,224685,0,21,0
241,224941,0,1,0
242,225197,0,22,0
243,225453,0,20,0
244,225709,0,12,1
245,226576,0,13,0
246,232007,0,10,1
247,232026,0,11,1
248,232271,0,1,1
249,232527,0,21,1
250,232783,0,24,1
251,233040,0,23,0
252,233296,0,22,1
253,233552,0,20,0
254,233808,0,18,0
255,234064,0,19,1
256,234320,0,12,0
257,235186,0,18,0
258,235440,0,21,0
259,235697,0,22,0
260,235953,0,11,1
261,236209,0,1,0
262,236465,0,20,1
263,236721,0,24,1
264,236977,0,19,0
265,237233,0,23,1
266,237490,0,12,0
267,238355,0,13,1
268,243752,0,10,0
269,243773,0,24,1
270,244020,0,11,0
271,244276,0,22,1
272,244532,0,21,1
273,244788,0,18,0
274,245044,0,20,1
275,245300,0,1,0
276,245556,0,19,1
277,245812,0,23,0
278,246069,0,12,0
279,246935,0,11,1
280,247189,0,20,1
281,247445,0,19,1
282,247701,0,21,1
283,247957,0,22,1
284,248213,0,24,1
285,248469,0,18,1
286,248725,0,23,0
287,248981,0,1,0
288,249238,0,12,0
289,250104,0,13,1
290,255492,0,7,0
291,255506,0,18,0
292,255753,0,24,1
293,256009,0,22,0
294,256265,0,19,0
295,256521,0,21,0
296,256777,0,1,0
297,257033,0,23,0
298,257289,0,20,1
299,257545,0,11,0
300,257802,0,12,1
301,258667,0,1,1
302,258922,0,20,1
303,259178,0,24,1
304,259434,0,18,0
305,259690,0,22,1
306,259946,0,19,1
307,260202,0,21,0
308,260459,0,23,0
309,260715,0,11,1
310,260971,0,12,1
311,261838,0,13,0
312,267243,0,6,1
313,267272,0,18,1
314,267517,0,23,0
315,267773,0,24,1
316,268029,0,20,0
317,268285,0,21,1
318,268541,0,22,1
319,268797,0,1,0
320,269053,0,11,0
321,269310,0,19,0
322,269566,0,12,0
323,270431,0,18,1
324,270686,0,23,1
325,270942,0,20,0
326,271198,0,24,1
327,271454,0,19,1
328,271711,0,1,0
329,271967,0,11,0
330,272223,0,21,0
331,272479,0,22,0
332,272735,0,12,1
333,273602,0,13,0
334,274968,0,15,0
335,278628,0,14,0
336,298022,0,3,1
337,298051,0,22,1
338,298296,0,19,1
